model,grade,prompt,skill_idx,q0,r_i,k,r_max,efficiency,offTarget_eff
claude-sonnet-4-5-20250929,4,rule_based,0,0.9230769230769231,0.45833333333333337,0,0.7291666666666666,0.6285714285714287,
claude-sonnet-4-5-20250929,4,rule_based,1,0.84,0.42857142857142855,0,0.7023809523809523,0.6101694915254238,
claude-sonnet-4-5-20250929,4,rule_based,2,1.0,0.9583333333333334,0,0.75,1.277777777777778,
claude-sonnet-4-5-20250929,4,rule_based,3,0.8333333333333334,0.7000000000000001,0,0.7000000000000001,1.0,
claude-sonnet-4-5-20250929,4,rule_based,0,0.9230769230769231,0.25000000000000006,1,0.7291666666666666,,0.34285714285714297
claude-sonnet-4-5-20250929,4,rule_based,1,0.84,0.23809523809523805,0,0.7023809523809523,0.3389830508474576,
claude-sonnet-4-5-20250929,4,rule_based,2,1.0,0.9583333333333334,0,0.75,1.277777777777778,
claude-sonnet-4-5-20250929,4,rule_based,3,0.8333333333333334,0.65,0,0.7000000000000001,0.9285714285714285,
claude-sonnet-4-5-20250929,4,rule_based,0,0.9230769230769231,0.20833333333333343,0,0.7291666666666666,0.28571428571428586,
claude-sonnet-4-5-20250929,4,rule_based,1,0.84,-0.047619047619047665,1,0.7023809523809523,,0.0677966101694916
claude-sonnet-4-5-20250929,4,rule_based,2,1.0,0.9166666666666666,0,0.75,1.222222222222222,
claude-sonnet-4-5-20250929,4,rule_based,3,0.8333333333333334,0.65,0,0.7000000000000001,0.9285714285714285,
claude-sonnet-4-5-20250929,4,rule_based,0,0.9230769230769231,0.041666666666666755,1,0.7291666666666666,,0.057142857142857266
claude-sonnet-4-5-20250929,4,rule_based,1,0.84,-0.09523809523809533,1,0.7023809523809523,,0.1355932203389832
claude-sonnet-4-5-20250929,4,rule_based,2,1.0,0.9583333333333334,0,0.75,1.277777777777778,
claude-sonnet-4-5-20250929,4,rule_based,3,0.8333333333333334,0.6,0,0.7000000000000001,0.857142857142857,
claude-sonnet-4-5-20250929,4,rule_based,0,0.9230769230769231,0.5833333333333334,0,0.7291666666666666,0.8,
claude-sonnet-4-5-20250929,4,rule_based,1,0.84,0.42857142857142855,0,0.7023809523809523,0.6101694915254238,
claude-sonnet-4-5-20250929,4,rule_based,2,1.0,0.04166666666666663,1,0.75,,0.055555555555555504
claude-sonnet-4-5-20250929,4,rule_based,3,0.8333333333333334,0.8,0,0.7000000000000001,1.1428571428571428,
claude-sonnet-4-5-20250929,4,rule_based,0,0.9230769230769231,0.2916666666666667,1,0.7291666666666666,,0.4
claude-sonnet-4-5-20250929,4,rule_based,1,0.84,0.33333333333333326,0,0.7023809523809523,0.47457627118644063,
claude-sonnet-4-5-20250929,4,rule_based,2,1.0,0.04166666666666663,1,0.75,,0.055555555555555504
claude-sonnet-4-5-20250929,4,rule_based,3,0.8333333333333334,0.75,0,0.7000000000000001,1.0714285714285714,
claude-sonnet-4-5-20250929,4,rule_based,0,0.9230769230769231,0.3333333333333333,0,0.7291666666666666,0.45714285714285713,
claude-sonnet-4-5-20250929,4,rule_based,1,0.84,0.0,1,0.7023809523809523,,0.0
claude-sonnet-4-5-20250929,4,rule_based,2,1.0,0.04166666666666663,1,0.75,,0.055555555555555504
claude-sonnet-4-5-20250929,4,rule_based,3,0.8333333333333334,0.55,0,0.7000000000000001,0.7857142857142857,
claude-sonnet-4-5-20250929,4,rule_based,0,0.9230769230769231,0.12500000000000003,1,0.7291666666666666,,0.17142857142857149
claude-sonnet-4-5-20250929,4,rule_based,1,0.84,-0.09523809523809533,1,0.7023809523809523,,0.1355932203389832
claude-sonnet-4-5-20250929,4,rule_based,2,1.0,0.04166666666666663,1,0.75,,0.055555555555555504
claude-sonnet-4-5-20250929,4,rule_based,3,0.8333333333333334,0.5,0,0.7000000000000001,0.7142857142857142,
claude-sonnet-4-5-20250929,4,rule_based,0,0.9230769230769231,0.2916666666666667,0,0.7291666666666666,0.4,
