grade,model,prompt,skill,k,q0,q1,r
4,claude-sonnet-4-5-20250929,combined,Measurement & Data,0,0.9230769230769231,0.7548076923076923,0.18229166666666669
4,claude-sonnet-4-5-20250929,combined,Measurement & Data,1,0.9230769230769231,0.868131868131868,0.05952380952380958
4,claude-sonnet-4-5-20250929,combined,Number & Operations in Base Ten,0,0.84,0.815,0.029761904761904736
4,claude-sonnet-4-5-20250929,combined,Number & Operations in Base Ten,1,0.84,0.937142857142857,-0.11564625850340139
4,claude-sonnet-4-5-20250929,combined,Number & Operations—Fractions,0,1.0,0.140625,0.859375
4,claude-sonnet-4-5-20250929,combined,Number & Operations—Fractions,1,1.0,1.0,0.0
4,claude-sonnet-4-5-20250929,combined,Operations & Algebraic Thinking,0,0.8333333333333334,0.359375,0.5687500000000001
4,claude-sonnet-4-5-20250929,combined,Operations & Algebraic Thinking,1,0.8333333333333334,0.8333333333333334,1.784287003861859e-17
4,claude-sonnet-4-5-20250929,few_shot,Measurement & Data,0,0.9230769230769231,0.9326923076923077,-0.010416666666666616
4,claude-sonnet-4-5-20250929,few_shot,Measurement & Data,1,0.9230769230769231,0.967032967032967,-0.04761904761904758
4,claude-sonnet-4-5-20250929,few_shot,Number & Operations in Base Ten,0,0.84,0.895,-0.06547619047619055
4,claude-sonnet-4-5-20250929,few_shot,Number & Operations in Base Ten,1,0.84,0.9199999999999999,-0.09523809523809526
4,claude-sonnet-4-5-20250929,few_shot,Number & Operations—Fractions,0,1.0,0.953125,0.046875
4,claude-sonnet-4-5-20250929,few_shot,Number & Operations—Fractions,1,1.0,1.0,0.0
4,claude-sonnet-4-5-20250929,few_shot,Operations & Algebraic Thinking,0,0.7916666666666666,0.8385416666666667,-0.05921052631578955
4,claude-sonnet-4-5-20250929,few_shot,Operations & Algebraic Thinking,1,0.7916666666666666,0.8392857142857143,-0.06015037593984969
4,claude-sonnet-4-5-20250929,rule_based,Measurement & Data,0,0.9230769230769231,0.6057692307692308,0.34375000000000006
4,claude-sonnet-4-5-20250929,rule_based,Measurement & Data,1,0.9230769230769231,0.8021978021978021,0.130952380952381
4,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,0,0.84,0.63,0.24999999999999994
4,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,1,0.84,0.9085714285714286,-0.08163265306122455
4,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,0,1.0,0.06770833333333333,0.9322916666666666
4,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,1,1.0,0.9583333333333334,0.04166666666666663
4,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,0,0.8333333333333334,0.2916666666666667,0.65
4,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,1,0.8333333333333334,0.8095238095238095,0.0285714285714286
5,claude-sonnet-4-5-20250929,combined,Number & Operations in Base Ten,0,0.9696969696969697,0.6136363636363636,0.3671875
5,claude-sonnet-4-5-20250929,combined,Number & Operations in Base Ten,1,0.9696969696969697,0.9494949494949495,0.020833333333333315
5,claude-sonnet-4-5-20250929,combined,Number & Operations—Fractions,0,0.7575757575757576,0.5681818181818181,0.25
5,claude-sonnet-4-5-20250929,combined,Number & Operations—Fractions,1,0.7575757575757575,0.797979797979798,-0.05333333333333334
5,claude-sonnet-4-5-20250929,combined,Operations & Algebraic Thinking,0,0.8484848484848485,0.7803030303030303,0.08035714285714288
5,claude-sonnet-4-5-20250929,combined,Operations & Algebraic Thinking,1,0.8484848484848485,0.8686868686868686,-0.02380952380952375
5,claude-sonnet-4-5-20250929,few_shot,Number & Operations in Base Ten,0,0.9696969696969697,0.9090909090909092,0.0625
5,claude-sonnet-4-5-20250929,few_shot,Number & Operations in Base Ten,1,0.9696969696969697,0.9595959595959597,0.010416666666666657
5,claude-sonnet-4-5-20250929,few_shot,Number & Operations—Fractions,0,0.7575757575757576,0.7954545454545455,-0.05000000000000006
5,claude-sonnet-4-5-20250929,few_shot,Number & Operations—Fractions,1,0.7575757575757575,0.8080808080808081,-0.06666666666666671
5,claude-sonnet-4-5-20250929,few_shot,Operations & Algebraic Thinking,0,0.8484848484848485,0.8863636363636364,-0.04464285714285711
5,claude-sonnet-4-5-20250929,few_shot,Operations & Algebraic Thinking,1,0.8484848484848485,0.9292929292929294,-0.09523809523809523
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,0,0.9696969696969697,0.36363636363636365,0.625
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,1,0.9696969696969697,0.9393939393939394,0.03125000000000001
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,0,0.7575757575757576,0.4772727272727273,0.37
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,1,0.7575757575757575,0.7575757575757575,0.0
5,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,0,0.8484848484848485,0.696969696969697,0.1785714285714286
5,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,1,0.8484848484848485,0.8585858585858586,-0.011904761904761899
