grade,prompt,student_id,n_missing,pearson_r
5,combined,5,1,0.9958705948858222
5,combined,6,1,0.9912407071619301
5,combined,1,2,0.6185895741317421
5,combined,4,2,0.5960395606792696
5,combined,2,2,0.3054236108907628
5,combined,3,1,-0.11470786693528073
5,few_shot,5,1,0.9176629354822468
5,few_shot,1,2,0.8029550685469666
5,few_shot,4,2,0.27735009811261474
5,few_shot,3,1,5.298162818213048e-16
5,few_shot,6,1,-0.4999999999999998
5,few_shot,2,2,-0.9449111825230678
5,rule_based,4,2,0.9982211666911955
5,rule_based,5,1,0.99243368701167
5,rule_based,6,1,0.9843241382880892
5,rule_based,2,2,0.7145752309013801
5,rule_based,1,2,0.6449020216370244
5,rule_based,3,1,0.08219949365267853
