model,prompt,skill,n_missing,acc_S
claude-sonnet-4-5-20250929,combined,Number & Operations in Base Ten,1,0.6060606060606061
claude-sonnet-4-5-20250929,combined,Number & Operations in Base Ten,2,0.7272727272727273
claude-sonnet-4-5-20250929,combined,Number & Operations in Base Ten,3,0.3939393939393939
claude-sonnet-4-5-20250929,combined,Number & Operations—Fractions,1,0.6363636363636364
claude-sonnet-4-5-20250929,combined,Number & Operations—Fractions,2,0.6212121212121212
claude-sonnet-4-5-20250929,combined,Number & Operations—Fractions,3,0.3939393939393939
claude-sonnet-4-5-20250929,combined,Operations & Algebraic Thinking,1,0.8787878787878788
claude-sonnet-4-5-20250929,combined,Operations & Algebraic Thinking,2,0.8787878787878788
claude-sonnet-4-5-20250929,combined,Operations & Algebraic Thinking,3,0.48484848484848486
claude-sonnet-4-5-20250929,few_shot,Number & Operations in Base Ten,1,0.9393939393939394
claude-sonnet-4-5-20250929,few_shot,Number & Operations in Base Ten,2,0.9696969696969697
claude-sonnet-4-5-20250929,few_shot,Number & Operations in Base Ten,3,0.7575757575757576
claude-sonnet-4-5-20250929,few_shot,Number & Operations—Fractions,1,0.8181818181818182
claude-sonnet-4-5-20250929,few_shot,Number & Operations—Fractions,2,0.8333333333333334
claude-sonnet-4-5-20250929,few_shot,Number & Operations—Fractions,3,0.696969696969697
claude-sonnet-4-5-20250929,few_shot,Operations & Algebraic Thinking,1,0.8787878787878788
claude-sonnet-4-5-20250929,few_shot,Operations & Algebraic Thinking,2,0.9090909090909091
claude-sonnet-4-5-20250929,few_shot,Operations & Algebraic Thinking,3,0.8484848484848485
claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,1,0.3333333333333333
claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,2,0.36363636363636365
claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,3,0.3939393939393939
claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,1,0.5151515151515151
claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,2,0.5
claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,3,0.3939393939393939
claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,1,0.7575757575757576
claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,2,0.7575757575757576
claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,3,0.5151515151515151
