grade,model,prompt,skill,q0,q1,replicate
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,0.9696969696969697,0.3939393939393939,0
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,0.7575757575757576,0.3939393939393939,0
5,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,0.8484848484848485,0.5151515151515151,0
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,0.7575757575757576,0.48484848484848486,0
5,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,0.8484848484848485,0.8787878787878788,0
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,0.9696969696969697,0.24242424242424243,0
5,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,0.8484848484848485,0.6363636363636364,0
5,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,0.8484848484848485,0.7575757575757576,0
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,0.9696969696969697,0.48484848484848486,0
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,0.7575757575757576,0.5151515151515151,0
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,0.7575757575757576,0.5151515151515151,0
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,0.9696969696969697,0.3333333333333333,0
5,claude-sonnet-4-5-20250929,few_shot,Number & Operations in Base Ten,0.9696969696969697,0.7575757575757576,0
5,claude-sonnet-4-5-20250929,few_shot,Number & Operations—Fractions,0.7575757575757576,0.696969696969697,0
5,claude-sonnet-4-5-20250929,few_shot,Operations & Algebraic Thinking,0.8484848484848485,0.8484848484848485,0
5,claude-sonnet-4-5-20250929,few_shot,Number & Operations—Fractions,0.7575757575757576,0.8181818181818182,0
5,claude-sonnet-4-5-20250929,few_shot,Operations & Algebraic Thinking,0.8484848484848485,0.9090909090909091,0
5,claude-sonnet-4-5-20250929,few_shot,Number & Operations in Base Ten,0.9696969696969697,0.9696969696969697,0
5,claude-sonnet-4-5-20250929,few_shot,Operations & Algebraic Thinking,0.8484848484848485,0.9090909090909091,0
5,claude-sonnet-4-5-20250929,few_shot,Operations & Algebraic Thinking,0.8484848484848485,0.8787878787878788,0
5,claude-sonnet-4-5-20250929,few_shot,Number & Operations in Base Ten,0.9696969696969697,0.9696969696969697,0
5,claude-sonnet-4-5-20250929,few_shot,Number & Operations—Fractions,0.7575757575757576,0.8484848484848485,0
5,claude-sonnet-4-5-20250929,few_shot,Number & Operations—Fractions,0.7575757575757576,0.8181818181818182,0
5,claude-sonnet-4-5-20250929,few_shot,Number & Operations in Base Ten,0.9696969696969697,0.9393939393939394,0
5,claude-sonnet-4-5-20250929,combined,Number & Operations in Base Ten,0.9696969696969697,0.3939393939393939,0
5,claude-sonnet-4-5-20250929,combined,Number & Operations—Fractions,0.7575757575757576,0.3939393939393939,0
5,claude-sonnet-4-5-20250929,combined,Operations & Algebraic Thinking,0.8484848484848485,0.48484848484848486,0
5,claude-sonnet-4-5-20250929,combined,Number & Operations—Fractions,0.7575757575757576,0.5757575757575758,0
5,claude-sonnet-4-5-20250929,combined,Operations & Algebraic Thinking,0.8484848484848485,0.9090909090909091,0
5,claude-sonnet-4-5-20250929,combined,Number & Operations in Base Ten,0.9696969696969697,0.5757575757575758,0
5,claude-sonnet-4-5-20250929,combined,Operations & Algebraic Thinking,0.8484848484848485,0.8484848484848485,0
5,claude-sonnet-4-5-20250929,combined,Operations & Algebraic Thinking,0.8484848484848485,0.8787878787878788,0
5,claude-sonnet-4-5-20250929,combined,Number & Operations in Base Ten,0.9696969696969697,0.8787878787878788,0
5,claude-sonnet-4-5-20250929,combined,Number & Operations—Fractions,0.7575757575757576,0.6666666666666666,0
5,claude-sonnet-4-5-20250929,combined,Number & Operations—Fractions,0.7575757575757576,0.6363636363636364,0
5,claude-sonnet-4-5-20250929,combined,Number & Operations in Base Ten,0.9696969696969697,0.6060606060606061,0
