grade,model,prompt,skill,k,r,replicate
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,0,0.8999999999999999,0
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,0,0.3333333333333333,0
5,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,0,0.7,0
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,1,0.5,0
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,0,0.6666666666666666,0
5,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,0,0.8,0
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,1,0.4,1
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,0,0.3333333333333333,1
5,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,0,0.8999999999999999,1
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,1,0.5,2
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,0,0.6666666666666666,2
5,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,0,0.8,2
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,1,0.5,3
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,0,0.3333333333333333,3
5,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,0,0.8999999999999999,3
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,1,0.5,4
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,0,0.6666666666666666,4
5,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,0,0.8,4
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,0,0.7,0
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,1,0.0,0
5,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,0,0.7,0
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,0,0.7,1
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,1,0.0,1
5,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,0,0.7,1
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,0,0.7,2
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,1,0.0,2
5,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,0,0.7,2
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,0,0.7,3
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,1,0.0,3
5,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,0,0.6,3
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,0,0.7,4
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,1,0.0,4
5,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,0,0.8,4
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,1,0.2,0
