grade,model,prompt,skill,k,r,replicate
4,claude-sonnet-4-5-20250929,rule_based,Measurement & Data,0,0.8823529411764705,0
4,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,0,0.8750000000000001,0
4,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,0,1.0,0
4,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,0,0.8749999999999999,0
4,claude-sonnet-4-5-20250929,rule_based,Measurement & Data,1,1.0,0
4,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,0,1.0,0
4,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,0,0.9411764705882354,0
4,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,0,0.9375,0
4,claude-sonnet-4-5-20250929,rule_based,Measurement & Data,1,1.0,1
4,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,0,1.0,1
4,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,0,0.9411764705882354,1
4,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,0,0.8749999999999999,1
4,claude-sonnet-4-5-20250929,rule_based,Measurement & Data,1,0.9411764705882353,2
4,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,0,1.0,2
4,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,0,0.9411764705882354,2
4,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,0,0.8749999999999999,2
4,claude-sonnet-4-5-20250929,rule_based,Measurement & Data,1,1.0,3
4,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,0,1.0,3
4,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,0,0.9411764705882354,3
4,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,0,0.8749999999999999,3
4,claude-sonnet-4-5-20250929,rule_based,Measurement & Data,1,1.0,4
4,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,0,1.0,4
4,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,0,0.9411764705882354,4
4,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,0,0.8749999999999999,4
4,claude-sonnet-4-5-20250929,rule_based,Measurement & Data,0,0.8823529411764705,0
4,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,1,1.0,0
4,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,0,0.9411764705882354,0
4,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,0,0.9375,0
4,claude-sonnet-4-5-20250929,rule_based,Measurement & Data,0,0.8823529411764705,1
4,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,1,1.0,1
4,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,0,0.9411764705882354,1
4,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,0,0.9375,1
4,claude-sonnet-4-5-20250929,rule_based,Measurement & Data,0,0.8823529411764705,2
