grade,model,prompt,skill,accuracy
4,claude-sonnet-4-5-20250929,combined,Measurement & Data,0.8076923076923077
4,claude-sonnet-4-5-20250929,combined,Number & Operations in Base Ten,0.6
4,claude-sonnet-4-5-20250929,combined,Number & Operations—Fractions,0.5
4,claude-sonnet-4-5-20250929,combined,Operations & Algebraic Thinking,0.75
4,claude-sonnet-4-5-20250929,few_shot,Measurement & Data,0.8846153846153846
4,claude-sonnet-4-5-20250929,few_shot,Number & Operations in Base Ten,0.6
4,claude-sonnet-4-5-20250929,few_shot,Number & Operations—Fractions,0.9166666666666666
4,claude-sonnet-4-5-20250929,few_shot,Operations & Algebraic Thinking,0.7916666666666666
4,claude-sonnet-4-5-20250929,rule_based,Measurement & Data,0.6538461538461539
4,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,0.32
4,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,0.7083333333333334
4,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,0.6666666666666666
5,claude-sonnet-4-5-20250929,combined,Number & Operations in Base Ten,0.6363636363636364
5,claude-sonnet-4-5-20250929,combined,Number & Operations—Fractions,0.24242424242424243
5,claude-sonnet-4-5-20250929,combined,Operations & Algebraic Thinking,0.6060606060606061
5,claude-sonnet-4-5-20250929,few_shot,Number & Operations in Base Ten,0.696969696969697
5,claude-sonnet-4-5-20250929,few_shot,Number & Operations—Fractions,0.5757575757575758
5,claude-sonnet-4-5-20250929,few_shot,Operations & Algebraic Thinking,0.8787878787878788
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,0.30303030303030304
5,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,0.09090909090909091
5,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,0.30303030303030304
