grade,model,skill,k,r,replicate
5,deepseek-chat,Number & Operations in Base Ten,0,0.5,0
5,deepseek-chat,Number & Operations—Fractions,0,0.6296296296296295,0
5,deepseek-chat,Operations & Algebraic Thinking,0,0.4193548387096775,0
5,deepseek-chat,Number & Operations in Base Ten,1,0.0,0
5,deepseek-chat,Number & Operations—Fractions,0,0.5925925925925927,0
5,deepseek-chat,Operations & Algebraic Thinking,0,0.3870967741935484,0
5,deepseek-chat,Number & Operations in Base Ten,1,0.0,1
5,deepseek-chat,Number & Operations—Fractions,0,0.6296296296296295,1
5,deepseek-chat,Operations & Algebraic Thinking,0,0.3870967741935484,1
5,deepseek-chat,Number & Operations in Base Ten,1,0.0,2
5,deepseek-chat,Number & Operations—Fractions,0,0.6296296296296295,2
5,deepseek-chat,Operations & Algebraic Thinking,0,0.3870967741935484,2
5,deepseek-chat,Number & Operations in Base Ten,1,0.0,3
5,deepseek-chat,Number & Operations—Fractions,0,0.5925925925925927,3
5,deepseek-chat,Operations & Algebraic Thinking,0,0.3870967741935484,3
5,deepseek-chat,Number & Operations in Base Ten,1,0.0,4
5,deepseek-chat,Number & Operations—Fractions,0,0.6296296296296295,4
5,deepseek-chat,Operations & Algebraic Thinking,0,0.3870967741935484,4
5,deepseek-chat,Number & Operations in Base Ten,0,0.40624999999999994,0
5,deepseek-chat,Number & Operations—Fractions,1,0.03703703703703714,0
5,deepseek-chat,Operations & Algebraic Thinking,0,0.4516129032258065,0
5,deepseek-chat,Number & Operations in Base Ten,0,0.53125,1
5,deepseek-chat,Number & Operations—Fractions,1,0.03703703703703714,1
5,deepseek-chat,Operations & Algebraic Thinking,0,0.4516129032258065,1
5,deepseek-chat,Number & Operations in Base Ten,0,0.5624999999999999,2
5,deepseek-chat,Number & Operations—Fractions,1,0.03703703703703714,2
5,deepseek-chat,Operations & Algebraic Thinking,0,0.4516129032258065,2
5,deepseek-chat,Number & Operations in Base Ten,0,0.5624999999999999,3
5,deepseek-chat,Number & Operations—Fractions,1,0.03703703703703714,3
5,deepseek-chat,Operations & Algebraic Thinking,0,0.4516129032258065,3
5,deepseek-chat,Number & Operations in Base Ten,0,0.5624999999999999,4
5,deepseek-chat,Number & Operations—Fractions,1,0.03703703703703714,4
5,deepseek-chat,Operations & Algebraic Thinking,0,0.4516129032258065,4
5,deepseek-chat,Number & Operations in Base Ten,1,0.0,0
5,deepseek-chat,Number & Operations—Fractions,1,0.03703703703703714,0
5,deepseek-chat,Operations & Algebraic Thinking,0,0.3548387096774194,0
5,deepseek-chat,Number & Operations in Base Ten,1,0.0,1
5,deepseek-chat,Number & Operations—Fractions,1,0.07407407407407414,1
5,deepseek-chat,Operations & Algebraic Thinking,0,0.3548387096774194,1
5,deepseek-chat,Number & Operations in Base Ten,1,0.0,2
5,deepseek-chat,Number & Operations—Fractions,1,0.07407407407407414,2
5,deepseek-chat,Operations & Algebraic Thinking,0,0.3548387096774194,2
5,deepseek-chat,Number & Operations in Base Ten,1,0.0,3
5,deepseek-chat,Number & Operations—Fractions,1,0.07407407407407414,3
5,deepseek-chat,Operations & Algebraic Thinking,0,0.3548387096774194,3
5,deepseek-chat,Number & Operations in Base Ten,1,0.0,4
5,deepseek-chat,Number & Operations—Fractions,1,0.07407407407407414,4
5,deepseek-chat,Operations & Algebraic Thinking,0,0.3548387096774194,4
5,deepseek-chat,Number & Operations in Base Ten,0,0.40624999999999994,0
5,deepseek-chat,Number & Operations—Fractions,0,0.5925925925925927,0
5,deepseek-chat,Operations & Algebraic Thinking,1,0.03225806451612912,0
5,deepseek-chat,Number & Operations in Base Ten,0,0.40624999999999994,1
5,deepseek-chat,Number & Operations—Fractions,0,0.6296296296296295,1
5,deepseek-chat,Operations & Algebraic Thinking,1,0.0,1
5,deepseek-chat,Number & Operations in Base Ten,0,0.375,2
5,deepseek-chat,Number & Operations—Fractions,0,0.6296296296296295,2
