grade,model,prompt,skill,k,q0,q1,r
4,claude-sonnet-4-5-20250929,explicit_decision,Measurement & Data,0,0.8846153846153846,0.04326923076923077,0.9510869565217391
4,claude-sonnet-4-5-20250929,explicit_decision,Measurement & Data,1,0.8846153846153845,0.8626373626373626,0.024844720496894394
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,0,0.92,0.065,0.9293478260869564
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,1,0.92,0.9257142857142858,-0.006211180124223591
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,0,1.0,0.0,1.0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,1,1.0,0.9583333333333333,0.041666666666666664
4,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0,0.7916666666666666,0.16145833333333331,0.7960526315789473
4,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,1,0.7916666666666666,0.7738095238095237,0.02255639097744359
4,deepseek-chat,explicit_decision,Measurement & Data,0,0.6153846153846154,0.125,0.796875
4,deepseek-chat,explicit_decision,Measurement & Data,1,0.6153846153846155,0.879120879120879,-0.42857142857142844
4,deepseek-chat,explicit_decision,Number & Operations in Base Ten,0,0.24,0.28500000000000003,-0.18750000000000006
4,deepseek-chat,explicit_decision,Number & Operations in Base Ten,1,0.24,0.49714285714285716,-1.0714285714285716
4,deepseek-chat,explicit_decision,Number & Operations—Fractions,0,0.4166666666666667,0.13020833333333331,0.6875
4,deepseek-chat,explicit_decision,Number & Operations—Fractions,1,0.4166666666666667,0.6607142857142857,-0.5857142857142856
4,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,0,0.625,0.09375,0.85
4,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,1,0.625,0.6904761904761905,-0.10476190476190474
4,gpt-4o,explicit_decision,Measurement & Data,0,0.6923076923076923,0.2548076923076923,0.6319444444444444
4,gpt-4o,explicit_decision,Measurement & Data,1,0.6923076923076923,0.5769230769230769,0.16666666666666669
4,gpt-4o,explicit_decision,Number & Operations in Base Ten,0,0.56,0.195,0.6517857142857143
4,gpt-4o,explicit_decision,Number & Operations in Base Ten,1,0.56,0.5314285714285715,0.05102040816326535
4,gpt-4o,explicit_decision,Number & Operations—Fractions,0,0.75,0.38020833333333337,0.4930555555555555
4,gpt-4o,explicit_decision,Number & Operations—Fractions,1,0.75,0.6488095238095238,0.1349206349206349
4,gpt-4o,explicit_decision,Operations & Algebraic Thinking,0,0.625,0.10416666666666666,0.8333333333333334
4,gpt-4o,explicit_decision,Operations & Algebraic Thinking,1,0.625,0.6607142857142857,-0.05714285714285716
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,0,0.9393939393939394,0.09090909090909091,0.9032258064516129
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,1,0.9393939393939394,0.9393939393939394,0.0
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,0,0.7575757575757576,0.09090909090909091,0.88
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,1,0.7575757575757575,0.7272727272727272,0.039999999999999966
5,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0,0.8787878787878788,0.20454545454545456,0.7672413793103449
5,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,1,0.8787878787878788,0.8585858585858586,0.02298850574712642
5,deepseek-chat,explicit_decision,Number & Operations in Base Ten,0,0.24242424242424243,0.19696969696969696,0.1875
5,deepseek-chat,explicit_decision,Number & Operations in Base Ten,1,0.24242424242424243,0.7575757575757575,-2.125
5,deepseek-chat,explicit_decision,Number & Operations—Fractions,0,0.09090909090909091,0.24242424242424243,-1.6666666666666665
5,deepseek-chat,explicit_decision,Number & Operations—Fractions,1,0.0909090909090909,0.23232323232323235,-1.5555555555555556
5,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,0,0.48484848484848486,0.23484848484848486,0.515625
5,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,1,0.48484848484848486,0.7676767676767676,-0.5833333333333331
5,gpt-4o,explicit_decision,Number & Operations in Base Ten,0,0.696969696969697,0.10606060606060606,0.8478260869565217
5,gpt-4o,explicit_decision,Number & Operations in Base Ten,1,0.6969696969696969,0.7272727272727272,-0.043478260869565126
5,gpt-4o,explicit_decision,Number & Operations—Fractions,0,0.3333333333333333,0.3106060606060606,0.06818181818181816
5,gpt-4o,explicit_decision,Number & Operations—Fractions,1,0.3333333333333333,0.3636363636363636,-0.09090909090909094
5,gpt-4o,explicit_decision,Operations & Algebraic Thinking,0,0.5757575757575758,0.23484848484848486,0.5921052631578947
5,gpt-4o,explicit_decision,Operations & Algebraic Thinking,1,0.5757575757575758,0.595959595959596,-0.03508771929824558
