grade,model,prompt,skill,k,r,replicate
4,claude-sonnet-4-5-20250929,explicit_decision,Measurement & Data,0,0.9565217391304348,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,0,0.8695652173913043,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,0,1.0,0
4,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0,0.8421052631578947,0
4,claude-sonnet-4-5-20250929,explicit_decision,Measurement & Data,1,0.0,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,0,0.9565217391304347,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,0,1.0,0
4,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0,0.7894736842105263,0
4,claude-sonnet-4-5-20250929,explicit_decision,Measurement & Data,0,0.9565217391304348,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,1,0.0,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,0,1.0,0
4,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0,0.7894736842105263,0
4,claude-sonnet-4-5-20250929,explicit_decision,Measurement & Data,1,0.04347826086956519,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,1,0.0,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,0,1.0,0
4,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0,0.8421052631578947,0
4,claude-sonnet-4-5-20250929,explicit_decision,Measurement & Data,0,0.9565217391304348,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,0,0.9565217391304347,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,1,0.0,0
4,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0,0.7894736842105263,0
4,claude-sonnet-4-5-20250929,explicit_decision,Measurement & Data,1,0.0,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,0,0.8695652173913043,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,1,0.0,0
4,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0,0.7894736842105263,0
4,claude-sonnet-4-5-20250929,explicit_decision,Measurement & Data,0,0.9565217391304348,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,1,-0.04347826086956513,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,1,0.20833333333333337,0
