grade,model,prompt,skill,q0,q1,replicate
4,claude-sonnet-4-5-20250929,explicit_decision,Measurement & Data,0.8846153846153846,0.038461538461538464,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,0.92,0.12,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,1.0,0.0,0
4,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0.7916666666666666,0.125,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,0.92,0.04,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,1.0,0.0,0
4,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0.7916666666666666,0.16666666666666666,0
4,claude-sonnet-4-5-20250929,explicit_decision,Measurement & Data,0.8846153846153846,0.038461538461538464,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,1.0,0.0,0
4,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0.7916666666666666,0.16666666666666666,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,1.0,0.0,0
4,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0.7916666666666666,0.125,0
4,claude-sonnet-4-5-20250929,explicit_decision,Measurement & Data,0.8846153846153846,0.038461538461538464,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,0.92,0.04,0
4,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0.7916666666666666,0.16666666666666666,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,0.92,0.12,0
4,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0.7916666666666666,0.16666666666666666,0
4,claude-sonnet-4-5-20250929,explicit_decision,Measurement & Data,0.8846153846153846,0.038461538461538464,0
4,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0.7916666666666666,0.20833333333333334,0
4,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0.7916666666666666,0.16666666666666666,0
4,claude-sonnet-4-5-20250929,explicit_decision,Measurement & Data,0.8846153846153846,0.038461538461538464,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,0.92,0.04,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,1.0,0.0,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,0.92,0.04,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,1.0,0.0,0
4,claude-sonnet-4-5-20250929,explicit_decision,Measurement & Data,0.8846153846153846,0.038461538461538464,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,1.0,0.0,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,1.0,0.0,0
4,claude-sonnet-4-5-20250929,explicit_decision,Measurement & Data,0.8846153846153846,0.038461538461538464,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,0.92,0.08,0
4,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,0.92,0.04,0
4,claude-sonnet-4-5-20250929,explicit_decision,Measurement & Data,0.8846153846153846,0.07692307692307693,0
4,gpt-4o,explicit_decision,Measurement & Data,0.6923076923076923,0.23076923076923078,0
4,gpt-4o,explicit_decision,Number & Operations in Base Ten,0.56,0.2,0
4,gpt-4o,explicit_decision,Number & Operations—Fractions,0.75,0.2916666666666667,0
4,gpt-4o,explicit_decision,Operations & Algebraic Thinking,0.625,0.125,0
4,gpt-4o,explicit_decision,Number & Operations in Base Ten,0.56,0.28,0
4,gpt-4o,explicit_decision,Number & Operations—Fractions,0.75,0.4166666666666667,0
4,gpt-4o,explicit_decision,Operations & Algebraic Thinking,0.625,0.125,0
4,gpt-4o,explicit_decision,Measurement & Data,0.6923076923076923,0.23076923076923078,0
4,gpt-4o,explicit_decision,Number & Operations—Fractions,0.75,0.4166666666666667,0
4,gpt-4o,explicit_decision,Operations & Algebraic Thinking,0.625,0.125,0
4,gpt-4o,explicit_decision,Number & Operations—Fractions,0.75,0.375,0
4,gpt-4o,explicit_decision,Operations & Algebraic Thinking,0.625,0.125,0
4,gpt-4o,explicit_decision,Measurement & Data,0.6923076923076923,0.3076923076923077,0
4,gpt-4o,explicit_decision,Number & Operations in Base Ten,0.56,0.2,0
4,gpt-4o,explicit_decision,Operations & Algebraic Thinking,0.625,0.08333333333333333,0
4,gpt-4o,explicit_decision,Number & Operations in Base Ten,0.56,0.16,0
4,gpt-4o,explicit_decision,Operations & Algebraic Thinking,0.625,0.125,0
4,gpt-4o,explicit_decision,Measurement & Data,0.6923076923076923,0.2692307692307692,0
4,gpt-4o,explicit_decision,Operations & Algebraic Thinking,0.625,0.041666666666666664,0
4,gpt-4o,explicit_decision,Operations & Algebraic Thinking,0.625,0.08333333333333333,0
4,gpt-4o,explicit_decision,Measurement & Data,0.6923076923076923,0.2692307692307692,0
4,gpt-4o,explicit_decision,Number & Operations in Base Ten,0.56,0.24,0
4,gpt-4o,explicit_decision,Number & Operations—Fractions,0.75,0.3333333333333333,0
4,gpt-4o,explicit_decision,Number & Operations in Base Ten,0.56,0.16,0
4,gpt-4o,explicit_decision,Number & Operations—Fractions,0.75,0.4166666666666667,0
4,gpt-4o,explicit_decision,Measurement & Data,0.6923076923076923,0.23076923076923078,0
4,gpt-4o,explicit_decision,Number & Operations—Fractions,0.75,0.4166666666666667,0
4,gpt-4o,explicit_decision,Number & Operations—Fractions,0.75,0.375,0
4,gpt-4o,explicit_decision,Measurement & Data,0.6923076923076923,0.3076923076923077,0
4,gpt-4o,explicit_decision,Number & Operations in Base Ten,0.56,0.2,0
4,gpt-4o,explicit_decision,Number & Operations in Base Ten,0.56,0.12,0
4,gpt-4o,explicit_decision,Measurement & Data,0.6923076923076923,0.19230769230769232,0
4,deepseek-chat,explicit_decision,Measurement & Data,0.6153846153846154,0.038461538461538464,0
4,deepseek-chat,explicit_decision,Number & Operations in Base Ten,0.24,0.28,0
4,deepseek-chat,explicit_decision,Number & Operations—Fractions,0.4166666666666667,0.041666666666666664,0
4,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,0.625,0.16666666666666666,0
4,deepseek-chat,explicit_decision,Number & Operations in Base Ten,0.24,0.24,0
4,deepseek-chat,explicit_decision,Number & Operations—Fractions,0.4166666666666667,0.125,0
4,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,0.625,0.08333333333333333,0
4,deepseek-chat,explicit_decision,Measurement & Data,0.6153846153846154,0.0,0
4,deepseek-chat,explicit_decision,Number & Operations—Fractions,0.4166666666666667,0.16666666666666666,0
4,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,0.625,0.08333333333333333,0
4,deepseek-chat,explicit_decision,Number & Operations—Fractions,0.4166666666666667,0.16666666666666666,0
4,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,0.625,0.08333333333333333,0
4,deepseek-chat,explicit_decision,Measurement & Data,0.6153846153846154,0.19230769230769232,0
4,deepseek-chat,explicit_decision,Number & Operations in Base Ten,0.24,0.2,0
4,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,0.625,0.08333333333333333,0
