grade,model,prompt,skill,k,r,replicate
5,deepseek-chat,explicit_decision,Number & Operations in Base Ten,0,0.75,0
5,deepseek-chat,explicit_decision,Number & Operations—Fractions,0,0.7037037037037037,0
5,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,0,0.7241379310344828,0
5,deepseek-chat,explicit_decision,Number & Operations in Base Ten,1,0.0,0
5,deepseek-chat,explicit_decision,Number & Operations—Fractions,0,0.5555555555555556,0
5,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,0,0.5862068965517241,0
5,deepseek-chat,explicit_decision,Number & Operations in Base Ten,0,0.59375,0
5,deepseek-chat,explicit_decision,Number & Operations—Fractions,1,0.0,0
5,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,0,0.6206896551724137,0
5,deepseek-chat,explicit_decision,Number & Operations in Base Ten,1,0.0,0
5,deepseek-chat,explicit_decision,Number & Operations—Fractions,1,-0.037037037037037,0
5,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,0,0.6206896551724137,0
5,deepseek-chat,explicit_decision,Number & Operations in Base Ten,0,0.625,0
5,deepseek-chat,explicit_decision,Number & Operations—Fractions,0,0.5185185185185186,0
5,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,1,-0.103448275862069,0
5,deepseek-chat,explicit_decision,Number & Operations in Base Ten,1,0.0,0
5,deepseek-chat,explicit_decision,Number & Operations—Fractions,0,0.7037037037037037,0
5,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,1,-0.103448275862069,0
5,deepseek-chat,explicit_decision,Number & Operations in Base Ten,0,0.625,0
5,deepseek-chat,explicit_decision,Number & Operations—Fractions,1,0.0,0
5,deepseek-chat,explicit_decision,Operations & Algebraic Thinking,1,-0.103448275862069,0
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,0,0.9032258064516129,0
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,0,0.92,0
5,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0,0.7931034482758621,0
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,1,0.0,0
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,0,0.84,0
5,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0,0.7241379310344828,0
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,0,0.9032258064516129,0
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,1,0.039999999999999966,0
5,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0,0.7586206896551724,0
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,1,0.0,0
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,1,0.0,0
5,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,0,0.7931034482758621,0
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,0,0.935483870967742,0
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,0,0.9600000000000001,0
5,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,1,0.0,0
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,1,0.0,0
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,0,0.8,0
5,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,1,0.03448275862068963,0
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations in Base Ten,0,0.8709677419354839,0
5,claude-sonnet-4-5-20250929,explicit_decision,Number & Operations—Fractions,1,0.07999999999999993,0
5,claude-sonnet-4-5-20250929,explicit_decision,Operations & Algebraic Thinking,1,0.03448275862068963,0
5,gpt-4o,explicit_decision,Number & Operations in Base Ten,0,0.8260869565217391,0
5,gpt-4o,explicit_decision,Number & Operations—Fractions,0,0.2142849285706429,0
5,gpt-4o,explicit_decision,Operations & Algebraic Thinking,0,0.54999954999955,0
5,gpt-4o,explicit_decision,Number & Operations in Base Ten,1,-0.13043478260869554,0
5,gpt-4o,explicit_decision,Number & Operations—Fractions,0,0.2142849285706429,0
5,gpt-4o,explicit_decision,Operations & Algebraic Thinking,0,0.5999995999996001,0
5,gpt-4o,explicit_decision,Number & Operations in Base Ten,0,0.8695652173913043,0
5,gpt-4o,explicit_decision,Number & Operations—Fractions,1,0.14285628571342857,0
5,gpt-4o,explicit_decision,Operations & Algebraic Thinking,0,0.64999964999965,0
5,gpt-4o,explicit_decision,Number & Operations in Base Ten,1,-0.043478260869565175,0
5,gpt-4o,explicit_decision,Number & Operations—Fractions,1,0.07142764285621434,0
5,gpt-4o,explicit_decision,Operations & Algebraic Thinking,0,0.64999964999965,0
5,gpt-4o,explicit_decision,Number & Operations in Base Ten,0,0.8695652173913043,0
5,gpt-4o,explicit_decision,Number & Operations—Fractions,0,0.3571422142850715,0
5,gpt-4o,explicit_decision,Operations & Algebraic Thinking,1,-1.000000999957591e-06,0
5,gpt-4o,explicit_decision,Number & Operations in Base Ten,1,0.043478260869565334,0
5,gpt-4o,explicit_decision,Number & Operations—Fractions,0,0.28571357142785714,0
5,gpt-4o,explicit_decision,Operations & Algebraic Thinking,1,0.04999904999904999,0
5,gpt-4o,explicit_decision,Number & Operations in Base Ten,0,0.8260869565217391,0
5,gpt-4o,explicit_decision,Number & Operations—Fractions,1,0.2142849285706429,0
5,gpt-4o,explicit_decision,Operations & Algebraic Thinking,1,-1.000000999957591e-06,0
