grade,model,prompt,skill,k,q0,q1,r
4,claude-sonnet-4-5-20250929,combined,Measurement & Data,0,0.8076923076923077,0.37393162393162394,0.5370370370370371
4,claude-sonnet-4-5-20250929,combined,Measurement & Data,1,0.8076923076923077,0.44505494505494503,0.44897959183673475
4,claude-sonnet-4-5-20250929,combined,Number & Operations in Base Ten,0,0.6,0.2,0.6666666666666666
4,claude-sonnet-4-5-20250929,combined,Number & Operations in Base Ten,1,0.6,0.5051428571428571,0.15809523809523804
4,claude-sonnet-4-5-20250929,combined,Number & Operations—Fractions,0,0.5,0.041666666666666664,0.9166666666666666
4,claude-sonnet-4-5-20250929,combined,Number & Operations—Fractions,1,0.5,0.7666666666666666,-0.5333333333333333
4,claude-sonnet-4-5-20250929,combined,Operations & Algebraic Thinking,0,0.75,0.2708333333333333,0.6388888888888888
4,claude-sonnet-4-5-20250929,combined,Operations & Algebraic Thinking,1,0.75,0.5369047619047619,0.2841269841269841
4,claude-sonnet-4-5-20250929,few_shot,Measurement & Data,0,0.8846153846153846,0.6185897435897436,0.3007246376811594
4,claude-sonnet-4-5-20250929,few_shot,Measurement & Data,1,0.8846153846153846,0.721978021978022,0.18385093167701858
4,claude-sonnet-4-5-20250929,few_shot,Number & Operations in Base Ten,0,0.6,0.5888888888888889,0.01851851851851847
4,claude-sonnet-4-5-20250929,few_shot,Number & Operations in Base Ten,1,0.6,0.7622857142857142,-0.2704761904761906
4,claude-sonnet-4-5-20250929,few_shot,Number & Operations—Fractions,0,0.9166666666666666,0.7037037037037037,0.23232323232323232
4,claude-sonnet-4-5-20250929,few_shot,Number & Operations—Fractions,1,0.9166666666666665,0.9976190476190475,-0.08831168831168835
4,claude-sonnet-4-5-20250929,few_shot,Operations & Algebraic Thinking,0,0.7916666666666666,0.3935185185185185,0.5029239766081871
4,claude-sonnet-4-5-20250929,few_shot,Operations & Algebraic Thinking,1,0.7916666666666666,0.7904761904761906,0.0015037593984961958
4,claude-sonnet-4-5-20250929,rule_based,Measurement & Data,0,0.6538461538461539,0.09081196581196581,0.861111111111111
4,claude-sonnet-4-5-20250929,rule_based,Measurement & Data,1,0.6538461538461539,0.17802197802197803,0.7277310924369748
4,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,0,0.32,0.04111111111111111,0.8715277777777778
4,claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,1,0.32,0.06285714285714286,0.8035714285714286
4,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,0,0.7083333333333334,0.04282407407407407,0.9395424836601308
4,claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,1,0.7083333333333334,0.5285714285714286,0.253781512605042
4,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,0,0.6666666666666666,0.12962962962962965,0.8055555555555556
4,claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,1,0.6666666666666666,0.3952380952380953,0.4071428571428571
4,deepseek-chat,combined,Measurement & Data,0,0.9615384615384615,0.5438034188034188,0.43444444444444447
4,deepseek-chat,combined,Measurement & Data,1,0.9615384615384616,0.9395604395604397,0.022857142857142847
4,deepseek-chat,combined,Number & Operations in Base Ten,0,0.9200000000000002,0.5033333333333334,0.4528985507246377
4,deepseek-chat,combined,Number & Operations in Base Ten,1,0.92,0.88,0.04347826086956525
4,deepseek-chat,combined,Number & Operations—Fractions,0,0.875,0.5590277777777778,0.3611111111111111
4,deepseek-chat,combined,Number & Operations—Fractions,1,0.875,0.886904761904762,-0.013605442176870736
4,deepseek-chat,combined,Operations & Algebraic Thinking,0,0.8333333333333334,0.6469907407407408,0.22361111111111112
4,deepseek-chat,combined,Operations & Algebraic Thinking,1,0.8333333333333334,0.8214285714285714,0.014285714285714296
4,deepseek-chat,few_shot,Measurement & Data,0,0.9615384615384615,0.9604700854700856,0.0011111111111111105
4,deepseek-chat,few_shot,Measurement & Data,1,0.9615384615384616,0.9549450549450551,0.0068571428571428525
4,deepseek-chat,few_shot,Number & Operations in Base Ten,0,0.88,0.9122222222222223,-0.03661616161616163
4,deepseek-chat,few_shot,Number & Operations in Base Ten,1,0.88,0.9108571428571428,-0.03506493506493508
4,deepseek-chat,few_shot,Number & Operations—Fractions,0,0.9583333333333334,0.9305555555555556,0.02898550724637686
4,deepseek-chat,few_shot,Number & Operations—Fractions,1,0.9583333333333335,0.9416666666666668,0.017391304347826105
4,deepseek-chat,few_shot,Operations & Algebraic Thinking,0,0.875,0.8136574074074074,0.07010582010582007
4,deepseek-chat,few_shot,Operations & Algebraic Thinking,1,0.875,0.861904761904762,0.014965986394557809
4,deepseek-chat,rule_based,Measurement & Data,0,0.9230769230769231,0.7457264957264957,0.19212962962962965
4,deepseek-chat,rule_based,Measurement & Data,1,0.923076923076923,0.9318681318681318,-0.009523809523809493
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.9200000000000002,0.8011111111111111,0.12922705314009664
4,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.92,0.8914285714285715,0.031055900621118036
4,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.9166666666666666,0.9004629629629629,0.017676767676767634
4,deepseek-chat,rule_based,Number & Operations—Fractions,1,0.9166666666666665,0.944047619047619,-0.029870129870129932
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.9166666666666666,0.3645833333333333,0.6022727272727273
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,0.9166666666666665,0.8380952380952381,0.08571428571428566
