grade,model,prompt,student_id,skill,k,observed_acc
5,claude-sonnet-4-5-20250929,combined,3,Number & Operations in Base Ten,1,0.4242424242424242
5,claude-sonnet-4-5-20250929,combined,3,Number & Operations—Fractions,1,0.16363636363636364
5,claude-sonnet-4-5-20250929,combined,3,Operations & Algebraic Thinking,0,0.3151515151515151
5,claude-sonnet-4-5-20250929,few_shot,3,Number & Operations in Base Ten,1,0.9333333333333333
5,claude-sonnet-4-5-20250929,few_shot,3,Number & Operations—Fractions,1,0.7393939393939395
5,claude-sonnet-4-5-20250929,few_shot,3,Operations & Algebraic Thinking,0,0.7212121212121213
5,claude-sonnet-4-5-20250929,rule_based,3,Number & Operations in Base Ten,1,0.2363636363636364
5,claude-sonnet-4-5-20250929,rule_based,3,Number & Operations—Fractions,1,0.06666666666666667
5,claude-sonnet-4-5-20250929,rule_based,3,Operations & Algebraic Thinking,0,0.09090909090909091
5,claude-sonnet-4-5-20250929,combined,5,Number & Operations in Base Ten,1,0.1878787878787879
5,claude-sonnet-4-5-20250929,combined,5,Number & Operations—Fractions,0,0.012121212121212121
5,claude-sonnet-4-5-20250929,combined,5,Operations & Algebraic Thinking,1,0.2545454545454545
5,claude-sonnet-4-5-20250929,few_shot,5,Number & Operations in Base Ten,1,0.8424242424242424
5,claude-sonnet-4-5-20250929,few_shot,5,Number & Operations—Fractions,0,0.6909090909090909
5,claude-sonnet-4-5-20250929,few_shot,5,Operations & Algebraic Thinking,1,0.9151515151515153
5,claude-sonnet-4-5-20250929,rule_based,5,Number & Operations in Base Ten,1,0.09696969696969697
5,claude-sonnet-4-5-20250929,rule_based,5,Number & Operations—Fractions,0,0.0
5,claude-sonnet-4-5-20250929,rule_based,5,Operations & Algebraic Thinking,1,0.09090909090909091
5,claude-sonnet-4-5-20250929,combined,6,Number & Operations in Base Ten,0,0.09696969696969697
5,claude-sonnet-4-5-20250929,combined,6,Number & Operations—Fractions,1,0.12727272727272726
5,claude-sonnet-4-5-20250929,combined,6,Operations & Algebraic Thinking,1,0.24848484848484848
5,claude-sonnet-4-5-20250929,few_shot,6,Number & Operations in Base Ten,0,0.4787878787878788
5,claude-sonnet-4-5-20250929,few_shot,6,Number & Operations—Fractions,1,0.7030303030303031
5,claude-sonnet-4-5-20250929,few_shot,6,Operations & Algebraic Thinking,1,0.9151515151515153
5,claude-sonnet-4-5-20250929,rule_based,6,Number & Operations in Base Ten,0,0.030303030303030304
5,claude-sonnet-4-5-20250929,rule_based,6,Number & Operations—Fractions,1,0.030303030303030304
5,claude-sonnet-4-5-20250929,rule_based,6,Operations & Algebraic Thinking,1,0.09090909090909091
