grade,model,prompt,skill,k,r,replicate
5,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.125,0
5,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.27586206896551724,0
5,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.19354838709677424,0
5,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.0,0
5,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.20689655172413787,0
5,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.22580645161290325,0
5,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.0,1
5,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.24137931034482762,1
5,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.16129032258064524,1
5,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.0,2
5,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.24137931034482762,2
5,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.16129032258064524,2
5,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.0,3
5,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.24137931034482762,3
5,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.16129032258064524,3
5,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.0,4
5,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.24137931034482762,4
5,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.16129032258064524,4
5,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.125,0
5,deepseek-chat,rule_based,Number & Operations—Fractions,1,0.13793103448275862,0
5,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.22580645161290325,0
5,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.15624999999999997,1
5,deepseek-chat,rule_based,Number & Operations—Fractions,1,0.103448275862069,1
5,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.16129032258064524,1
5,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.15624999999999997,2
5,deepseek-chat,rule_based,Number & Operations—Fractions,1,0.103448275862069,2
5,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.16129032258064524,2
5,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.15624999999999997,3
5,deepseek-chat,rule_based,Number & Operations—Fractions,1,0.103448275862069,3
5,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.16129032258064524,3
5,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.15624999999999997,4
5,deepseek-chat,rule_based,Number & Operations—Fractions,1,0.103448275862069,4
5,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.16129032258064524,4
5,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.0,0
5,deepseek-chat,rule_based,Number & Operations—Fractions,1,0.03448275862068963,0
5,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.16129032258064524,0
5,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.0,1
5,deepseek-chat,rule_based,Number & Operations—Fractions,1,0.06896551724137925,1
5,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.19354838709677424,1
5,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.0,2
5,deepseek-chat,rule_based,Number & Operations—Fractions,1,0.06896551724137925,2
5,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.19354838709677424,2
5,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.0,3
5,deepseek-chat,rule_based,Number & Operations—Fractions,1,0.06896551724137925,3
5,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.19354838709677424,3
5,deepseek-chat,rule_based,Number & Operations in Base Ten,1,0.0,4
5,deepseek-chat,rule_based,Number & Operations—Fractions,1,0.06896551724137925,4
5,deepseek-chat,rule_based,Operations & Algebraic Thinking,0,0.19354838709677424,4
5,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.18750000000000006,0
5,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.20689655172413787,0
5,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,-0.032258064516129004,0
5,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.18750000000000006,1
5,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.20689655172413787,1
5,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,-0.032258064516129004,1
5,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.18750000000000006,2
5,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.20689655172413787,2
5,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,-0.032258064516129004,2
5,deepseek-chat,rule_based,Number & Operations in Base Ten,0,0.18750000000000006,3
5,deepseek-chat,rule_based,Number & Operations—Fractions,0,0.20689655172413787,3
5,deepseek-chat,rule_based,Operations & Algebraic Thinking,1,-0.032258064516129004,3
