grade,prompt,student_id,n_missing,pearson_r
4,combined,9,2,0.9830204240991606
4,combined,7,1,0.9688767514171117
4,combined,4,3,0.9676391941524094
4,combined,12,2,0.9610477137369074
4,combined,11,1,0.9518470957363302
4,combined,3,2,0.9363339937104515
4,combined,8,3,0.9094570077976608
4,combined,13,1,0.8761257224511245
4,combined,10,2,0.8090530646446206
4,combined,6,2,0.7043749956113965
4,combined,14,1,0.6517211613184216
4,combined,5,2,0.6230135379029693
4,combined,1,3,0.5974634979445703
4,combined,2,3,0.4983447695211117
4,few_shot,6,2,0.9779506222136404
4,few_shot,12,2,0.9213868757978314
4,few_shot,7,1,0.9033256469084894
4,few_shot,5,2,0.8846469442223233
4,few_shot,4,3,0.8267172606024876
4,few_shot,2,3,0.8089823639675288
4,few_shot,8,3,0.7710339559894374
4,few_shot,13,1,0.7653342772410299
4,few_shot,1,3,0.6410732120041681
4,few_shot,3,2,0.45982324482757747
4,few_shot,9,2,0.28953499397249455
4,few_shot,10,2,0.1419307665884662
4,few_shot,14,1,0.08243279908590326
4,few_shot,11,1,-0.39253872681709273
4,rule_based,4,3,0.9606802328703229
4,rule_based,8,3,0.9548660329064595
4,rule_based,12,2,0.9367047040023727
4,rule_based,13,1,0.8154669864716596
4,rule_based,11,1,0.6465551029321371
4,rule_based,10,2,0.5771649324443997
4,rule_based,9,2,0.5153807945087819
4,rule_based,5,2,0.5022746709203892
4,rule_based,14,1,0.47470822038767757
4,rule_based,3,2,0.3484167242509747
4,rule_based,6,2,0.321068743778546
4,rule_based,7,1,0.08815397555189876
4,rule_based,1,3,-0.453188920976803
4,rule_based,2,3,-0.8490445135141554
