grade,model,prompt,target_drop,off_target,controllability_score
4,claude-sonnet-4-5-20250929,combined,0.6898148148148149,0.36018140589569153,0.17221104404202994
4,claude-sonnet-4-5-20250929,few_shot,0.2636225912827743,0.1450581988568259,0.06216022994635169
4,claude-sonnet-4-5-20250929,rule_based,0.8694342320261437,0.5480567226890757,0.17067108533554265
4,deepseek-chat,combined,0.3680163043478261,0.024951197870452534,0.17429993001487182
4,deepseek-chat,few_shot,0.0158965692117866,0.01856984216611546,-0.0010939152702777936
4,deepseek-chat,rule_based,0.23532654442980533,0.043857048748353104,0.09770082948282582
4,gpt-4o,combined,0.6947372004357298,0.07593662464985992,0.31482756835128417
4,gpt-4o,few_shot,0.14749376780626777,0.04626144688644692,0.05198063380281689
4,gpt-4o,rule_based,0.7222552910052911,0.09931972789115646,0.3172535211267605
5,claude-sonnet-4-5-20250929,combined,0.632217261904762,0.4284656084656085,0.11898361495135693
5,claude-sonnet-4-5-20250929,few_shot,0.013075698992608983,0.20610396556107916,-0.09297897740433683
5,claude-sonnet-4-5-20250929,rule_based,0.7374999999999999,0.46370370370370373,0.15627240143369173
5,deepseek-chat,combined,0.5089325716845878,0.018505243594849362,0.25372072558163433
5,deepseek-chat,few_shot,0.014159251019651466,0.03297491039426522,-0.008647601277404993
5,deepseek-chat,rule_based,0.21154943571560994,0.0368557656655543,0.0913533705311756
5,gpt-4o,combined,0.4435019841269841,0.04994708994708995,0.20473630312339988
5,gpt-4o,few_shot,0.0917397660818714,0.06910331384015593,0.013912469345406572
5,gpt-4o,rule_based,0.5251623376623377,0.07748917748917745,0.23355676581483037
