grade,model,prompt,student_id,skill,k,observed_acc
4,gpt-4o,combined,7,Measurement & Data,1,0.6076923076923078
4,gpt-4o,combined,7,Number & Operations in Base Ten,1,0.536
4,gpt-4o,combined,7,Number & Operations—Fractions,1,0.7999999999999999
4,gpt-4o,combined,7,Operations & Algebraic Thinking,0,0.23333333333333334
4,gpt-4o,few_shot,7,Measurement & Data,1,0.5769230769230769
4,gpt-4o,few_shot,7,Number & Operations in Base Ten,1,0.536
4,gpt-4o,few_shot,7,Number & Operations—Fractions,1,0.7666666666666667
4,gpt-4o,few_shot,7,Operations & Algebraic Thinking,0,0.5
4,gpt-4o,rule_based,7,Measurement & Data,1,0.6
4,gpt-4o,rule_based,7,Number & Operations in Base Ten,1,0.536
4,gpt-4o,rule_based,7,Number & Operations—Fractions,1,0.9416666666666668
4,gpt-4o,rule_based,7,Operations & Algebraic Thinking,0,0.041666666666666664
4,gpt-4o,combined,11,Measurement & Data,1,0.6461538461538462
4,gpt-4o,combined,11,Number & Operations in Base Ten,1,0.512
4,gpt-4o,combined,11,Number & Operations—Fractions,0,0.2916666666666667
4,gpt-4o,combined,11,Operations & Algebraic Thinking,1,0.7000000000000001
4,gpt-4o,few_shot,11,Measurement & Data,1,0.6153846153846154
4,gpt-4o,few_shot,11,Number & Operations in Base Ten,1,0.56
4,gpt-4o,few_shot,11,Number & Operations—Fractions,0,0.8
4,gpt-4o,few_shot,11,Operations & Algebraic Thinking,1,0.7416666666666667
4,gpt-4o,rule_based,11,Measurement & Data,1,0.6
4,gpt-4o,rule_based,11,Number & Operations in Base Ten,1,0.544
4,gpt-4o,rule_based,11,Number & Operations—Fractions,0,0.4416666666666667
4,gpt-4o,rule_based,11,Operations & Algebraic Thinking,1,0.6666666666666666
4,gpt-4o,combined,13,Measurement & Data,1,0.6461538461538462
4,gpt-4o,combined,13,Number & Operations in Base Ten,0,0.336
4,gpt-4o,combined,13,Number & Operations—Fractions,1,0.8083333333333332
4,gpt-4o,combined,13,Operations & Algebraic Thinking,1,0.625
4,gpt-4o,few_shot,13,Measurement & Data,1,0.6076923076923078
4,gpt-4o,few_shot,13,Number & Operations in Base Ten,0,0.472
4,gpt-4o,few_shot,13,Number & Operations—Fractions,1,0.7916666666666666
4,gpt-4o,few_shot,13,Operations & Algebraic Thinking,1,0.6666666666666666
4,gpt-4o,rule_based,13,Measurement & Data,1,0.6
4,gpt-4o,rule_based,13,Number & Operations in Base Ten,0,0.152
4,gpt-4o,rule_based,13,Number & Operations—Fractions,1,0.9583333333333334
4,gpt-4o,rule_based,13,Operations & Algebraic Thinking,1,0.7083333333333334
4,gpt-4o,combined,14,Measurement & Data,0,0.16153846153846155
4,gpt-4o,combined,14,Number & Operations in Base Ten,1,0.496
4,gpt-4o,combined,14,Number & Operations—Fractions,1,0.8833333333333332
4,gpt-4o,combined,14,Operations & Algebraic Thinking,1,0.6583333333333332
4,gpt-4o,few_shot,14,Measurement & Data,0,0.5076923076923077
4,gpt-4o,few_shot,14,Number & Operations in Base Ten,1,0.528
4,gpt-4o,few_shot,14,Number & Operations—Fractions,1,0.8583333333333334
4,gpt-4o,few_shot,14,Operations & Algebraic Thinking,1,0.6749999999999999
4,gpt-4o,rule_based,14,Measurement & Data,0,0.15384615384615385
4,gpt-4o,rule_based,14,Number & Operations in Base Ten,1,0.472
4,gpt-4o,rule_based,14,Number & Operations—Fractions,1,0.9583333333333334
4,gpt-4o,rule_based,14,Operations & Algebraic Thinking,1,0.6666666666666666
