grade,model,prompt,skill,q0,q1,replicate
4,deepseek-chat,rule_based,Measurement & Data,0.9230769230769231,0.6153846153846154,0
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0.92,0.6,0
4,deepseek-chat,rule_based,Number & Operations—Fractions,0.9166666666666666,0.75,0
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0.9166666666666666,0.16666666666666666,0
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0.92,0.84,0
4,deepseek-chat,rule_based,Number & Operations—Fractions,0.9166666666666666,0.875,0
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0.9166666666666666,0.3333333333333333,0
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0.92,0.8,1
4,deepseek-chat,rule_based,Number & Operations—Fractions,0.9166666666666666,0.875,1
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0.9166666666666666,0.3333333333333333,1
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0.92,0.8,2
4,deepseek-chat,rule_based,Number & Operations—Fractions,0.9166666666666666,0.875,2
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0.9166666666666666,0.375,2
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0.92,0.8,3
4,deepseek-chat,rule_based,Number & Operations—Fractions,0.9166666666666666,0.875,3
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0.9166666666666666,0.375,3
4,deepseek-chat,rule_based,Number & Operations in Base Ten,0.92,0.8,4
4,deepseek-chat,rule_based,Number & Operations—Fractions,0.9166666666666666,0.875,4
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0.9166666666666666,0.3333333333333333,4
4,deepseek-chat,rule_based,Measurement & Data,0.9230769230769231,0.7692307692307693,0
4,deepseek-chat,rule_based,Number & Operations—Fractions,0.9166666666666666,0.875,0
4,deepseek-chat,rule_based,Operations & Algebraic Thinking,0.9166666666666666,0.2916666666666667,0
4,deepseek-chat,rule_based,Measurement & Data,0.9230769230769231,0.7692307692307693,1
