grade,model,prompt,student_id,skill,k,observed_acc
5,deepseek-chat,combined,3,Number & Operations in Base Ten,1,0.9696969696969697
5,deepseek-chat,combined,3,Number & Operations—Fractions,1,0.7636363636363637
5,deepseek-chat,combined,3,Operations & Algebraic Thinking,0,0.6060606060606061
5,deepseek-chat,few_shot,3,Number & Operations in Base Ten,1,0.9696969696969697
5,deepseek-chat,few_shot,3,Number & Operations—Fractions,1,0.7696969696969698
5,deepseek-chat,few_shot,3,Operations & Algebraic Thinking,0,0.9696969696969697
5,deepseek-chat,rule_based,3,Number & Operations in Base Ten,1,0.9696969696969697
5,deepseek-chat,rule_based,3,Number & Operations—Fractions,1,0.8242424242424242
5,deepseek-chat,rule_based,3,Operations & Algebraic Thinking,0,0.7636363636363637
5,deepseek-chat,combined,5,Number & Operations in Base Ten,1,0.9696969696969697
5,deepseek-chat,combined,5,Number & Operations—Fractions,0,0.1878787878787879
5,deepseek-chat,combined,5,Operations & Algebraic Thinking,1,0.9333333333333333
5,deepseek-chat,few_shot,5,Number & Operations in Base Ten,1,0.9696969696969697
5,deepseek-chat,few_shot,5,Number & Operations—Fractions,0,0.8303030303030303
5,deepseek-chat,few_shot,5,Operations & Algebraic Thinking,1,0.9696969696969697
5,deepseek-chat,rule_based,5,Number & Operations in Base Ten,1,0.9696969696969697
5,deepseek-chat,rule_based,5,Number & Operations—Fractions,0,0.6666666666666666
5,deepseek-chat,rule_based,5,Operations & Algebraic Thinking,1,0.9696969696969697
5,deepseek-chat,combined,6,Number & Operations in Base Ten,0,0.5333333333333333
5,deepseek-chat,combined,6,Number & Operations—Fractions,1,0.7878787878787878
5,deepseek-chat,combined,6,Operations & Algebraic Thinking,1,0.9393939393939394
5,deepseek-chat,few_shot,6,Number & Operations in Base Ten,0,0.9696969696969697
5,deepseek-chat,few_shot,6,Number & Operations—Fractions,1,0.8484848484848484
5,deepseek-chat,few_shot,6,Operations & Algebraic Thinking,1,0.9696969696969697
5,deepseek-chat,rule_based,6,Number & Operations in Base Ten,0,0.6242424242424243
5,deepseek-chat,rule_based,6,Number & Operations—Fractions,1,0.8181818181818181
5,deepseek-chat,rule_based,6,Operations & Algebraic Thinking,1,0.9636363636363636
