model,prompt,skill,n_missing,acc_S
claude-sonnet-4-5-20250929,combined,Number & Operations in Base Ten,1,0.09696969696969697
claude-sonnet-4-5-20250929,combined,Number & Operations in Base Ten,2,0.14242424242424243
claude-sonnet-4-5-20250929,combined,Number & Operations in Base Ten,3,0.2727272727272727
claude-sonnet-4-5-20250929,combined,Number & Operations—Fractions,1,0.012121212121212121
claude-sonnet-4-5-20250929,combined,Number & Operations—Fractions,2,0.09696969696969697
claude-sonnet-4-5-20250929,combined,Number & Operations—Fractions,3,0.2727272727272727
claude-sonnet-4-5-20250929,combined,Operations & Algebraic Thinking,1,0.3151515151515151
claude-sonnet-4-5-20250929,combined,Operations & Algebraic Thinking,2,0.32727272727272727
claude-sonnet-4-5-20250929,combined,Operations & Algebraic Thinking,3,0.5151515151515151
claude-sonnet-4-5-20250929,few_shot,Number & Operations in Base Ten,1,0.4787878787878788
claude-sonnet-4-5-20250929,few_shot,Number & Operations in Base Ten,2,0.6121212121212121
claude-sonnet-4-5-20250929,few_shot,Number & Operations in Base Ten,3,0.42424242424242425
claude-sonnet-4-5-20250929,few_shot,Number & Operations—Fractions,1,0.6909090909090909
claude-sonnet-4-5-20250929,few_shot,Number & Operations—Fractions,2,0.7242424242424242
claude-sonnet-4-5-20250929,few_shot,Number & Operations—Fractions,3,0.6363636363636364
claude-sonnet-4-5-20250929,few_shot,Operations & Algebraic Thinking,1,0.7212121212121213
claude-sonnet-4-5-20250929,few_shot,Operations & Algebraic Thinking,2,0.8727272727272728
claude-sonnet-4-5-20250929,few_shot,Operations & Algebraic Thinking,3,0.7272727272727273
claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,1,0.030303030303030304
claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,2,0.08787878787878788
claude-sonnet-4-5-20250929,rule_based,Number & Operations in Base Ten,3,0.030303030303030304
claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,1,0.0
claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,2,0.03939393939393939
claude-sonnet-4-5-20250929,rule_based,Number & Operations—Fractions,3,0.06060606060606061
claude-sonnet-4-5-20250929,rule_based,Operations & Algebraic Thinking,1,0.09090909090909091
